Code,description,ons code,Estimate Rate % of sample,Standard Error percentage points,Deft,Estimate total,Standard Error weight,Lower CI,Upper CI
rsex,male,1,49,0.00,0.00,24691530,0,49,49
rsex,female,2,51,0.00,0.00,25879101,0,51,51
uri,urban area,1,85,3,2.89,43049954,1764557,78,92
uri,rural area,2,15,3,2.89,7520676,1764557,8,22
agex, 16 to 24 ,1,14,0.00,0.00,7025113,0,14,14
agex, 25 to 44 ,2,33,0.00,0.00,16522014,0,33,33
agex, 45 to 54 ,3,17,0.00,0.00,8839146,0,17,17
agex, 55 to 64 ,4,14,0.00,0.00,7184020,0,14,14
agex, 65 to 74 ,5,12,0.00,0.00,6131167,0,12,12
agex,75 and over,6,10,0.00,0.00,4869171,0,10,10
grpinc,"up to £10,399",1,26,1.54,1.05,12320706,739349,23,29
grpinc,"£10,400 to £19,759",2,31,2.07,1.33,14601688,992883,27,35
grpinc,"£19,760 to ££28,599",3,15,1.28,1.07,7196396,599789,13,18
grpinc,"£28,600 and over",4,22,1.98,1.43,10422168,959968,18,26
grpinc,No source of income,99,6,0.95,1.31,2739042,448099,4,8
nsecac3,Not classified ,4,31,2.19,1.47,15622349,1105704,27,35
nsecac3,routine and manual,3,17,1.42,1.19,8392440,719880,14,19
nsecac3,intermediate,2,23,2.08,1.53,11615346,1051941,19,27
nsecac3,managerial and professional,1,30,1.55,1.06,14940496,785692,26,33
gora,North East,1,5,0.00,0.00,2408265,0,5,5
gora,North West,2,11,0.00,0.00,5577195,0,11,11
gora,Yorkshire and Humberside,3,9,0.00,0.00,4737436,0,9,9
gora,East Midlands,4,7,0.00,0.00,3473642,0,7,7
gora,West Midlands,5,9,0.00,0.00,4771910,0,9,9
gora,Eastern England,6,9,0.00,0.00,4752050,0,9,9
gora,London,7,14,0.00,0.00,6829555,0,14,14
gora,South East,8,13,0.00,0.00,6649718,0,13,13
gora,South West,9,8,0.00,0.00,4094779,0,8,8
gora,Wales,10,6,0.00,0.00,2823579,0,6,6
gora,Scotland,11,9,0.00,0.00,4452501,0,9,9
dvilo4a,In employment,1,62,1.59,1.00,31201660,801859,59,65
dvilo4a,Unpaid family worker,2,0,0.16,0.70,181090,80129,0,1
dvilo4a,Unemployed,3,3,0.84,1.61,1676427,423211,2,5
dvilo4a,Economically inactive,4,35,1.30,0.83,17511452,656274,32,37
respmar,"Single, never married ",1,33,1.18,0.84,16542366,598730,30,35
respmar,"Married, living with spouse ",2,49,1.52,0.95,24711444,768033,46,52
respmar,"married, separated from spouse ",3,3,0.59,1.05,1757651,298992,2,5
respmar,Divorced ,4,9,0.95,0.99,4334645,478499,7,10
respmar,Widowed ,5,6,0.70,0.83,3224525,352524,5,8
respmar,Civil partner,6,0,0.00,0.00,0,0,0,0
respmar," Legal civil partner, separated from partner",7,0,0.00,0.00,0,0,0,0
respmar, Civil Partnership now legally dissolved,8,0,0.00,0.00,0,0,0,0
respmar," Surviving civil partner,  partner has died",9,0,0.00,0.00,0,0,0,0
highed4,degree or equivalent ,1,26,2.42,1.72,13369075,1224196,22,31
highed4,below degree level ,2,47,1.62,1.01,23907915,819819,44,51
highed4, other ,3,10,1.44,1.42,5206814,726224,7,13
highed4,none (no qualifications) ,4,16,1.38,1.14,8041265,699105,13,19
hhtypa,1 adult aged 16 to 64,1,8,0.90,1.05,4253839,456238,7,10
hhtypa,1 adult aged 65 or over,2,6,0.52,0.62,3231347,261744,5,7
hhtypa,2 adults aged 16 to 64,3,23,1.37,1.02,11544427,691744,20,26
hhtypa,"2 adults, (at least one > 64)",4,15,0.70,0.56,7739837,354846,14,17
hhtypa,1 or 2 children,5,19,1.65,1.29,9818731,833330,16,23
hhtypa,3 or more children,6,24,1.91,1.44,12102362,965474,20,28
hhtypa,other family types,7,4,0.77,1.34,1880089,390778,2,5
