Code,description,"ons code","Estimate Rate % of sample","Standard Error percentage points",Deft,"Estimate total","Standard Error weight","Lower CI","Upper CI","Group name"
rsex,male,1,49,0,0,24691530,0,49,49,sex
rsex,female,2,51,0,0,25879101,0,51,51,sex
uri,"urban area",1,85,3,2.89,43049954,1764557,78,92,"urban or rural areas"
uri,"rural area",2,15,3,2.89,7520676,1764557,8,22,"urban or rural areas"
agex,"16 to 24",1,14,0,0,7025113,0,14,14,age
agex,"25 to 44",2,33,0,0,16522014,0,33,33,age
agex,"45 to 54",3,17,0,0,8839146,0,17,17,age
agex,"55 to 64",4,14,0,0,7184020,0,14,14,age
agex,"65 to 74",5,12,0,0,6131167,0,12,12,age
agex,"75 and over",6,10,0,0,4869171,0,10,10,age
grpinc,"up to £10,399",1,26,1.54,1.05,12320706,739349,23,29,"personal income"
grpinc,"£10,400 to £19,759",2,31,2.07,1.33,14601688,992883,27,35,"personal income"
grpinc,"£19,760 to £28,599",3,15,1.28,1.07,7196396,599789,13,18,"personal income"
grpinc,"£28,600 and over",4,22,1.98,1.43,10422168,959968,18,26,"personal income"
grpinc,"no source of income",5,6,0.95,1.31,2739042,448099,4,8,"personal income"
grpinc,"no source of income",97,,,,,,,,"personal income"
grpinc,refused,98,,,,,,,,"personal income"
grpinc,"don't know",99,,,,,,,,"personal income"
nsecac3,"not classified",4,31,2.19,1.47,15622349,1105704,27,35,"socio economic group"
nsecac3,"routine and manual",3,17,1.42,1.19,8392440,719880,14,19,"socio economic group"
nsecac3,intermediate,2,23,2.08,1.53,11615346,1051941,19,27,"socio economic group"
nsecac3,"managerial & professional",1,30,1.55,1.06,14940496,785692,26,33,"socio economic group"
gora,"North East",1,5,0,0,2408265,0,5,5,region
gora,"North West",2,11,0,0,5577195,0,11,11,region
gora,"Yorkshire and Humberside",3,9,0,0,4737436,0,9,9,region
gora,"East Midlands",4,7,0,0,3473642,0,7,7,region
gora,"West Midlands",5,9,0,0,4771910,0,9,9,region
gora,"Eastern England",6,9,0,0,4752050,0,9,9,region
gora,London,7,14,0,0,6829555,0,14,14,region
gora,"South East",8,13,0,0,6649718,0,13,13,region
gora,"South West",9,8,0,0,4094779,0,8,8,region
gora,Wales,10,6,0,0,2823579,0,6,6,region
gora,Scotland,11,9,0,0,4452501,0,9,9,region
dvilo4a,"in employment",1,62,1.59,1,31201660,801859,59,65,"employment status"
dvilo4a,"unpaid family worker",2,0,0.16,0.7,181090,80129,0,1,"employment status"
dvilo4a,unemployed,3,3,0.84,1.61,1676427,423211,2,5,"employment status"
dvilo4a,"economically inactive",4,35,1.3,0.83,17511452,656274,32,37,"employment status"
respmar,"single, never married",1,33,1.18,0.84,16542366,598730,30,35,"marital status"
respmar,"married, living with spouse",2,49,1.52,0.95,24711444,768033,46,52,"marital status"
respmar,"married, separated from spouse",3,3,0.59,1.05,1757651,298992,2,5,"marital status"
respmar,divorced,4,9,0.95,0.99,4334645,478499,7,10,"marital status"
respmar,widowed,5,6,0.7,0.83,3224525,352524,5,8,"marital status"
respmar,"civil partner",6,0,0,0,0,0,0,0,"marital status"
respmar,"legal civil partner, separated from partner",7,0,0,0,0,0,0,0,"marital status"
respmar,"civil partnership now legally dissolved",8,0,0,0,0,0,0,0,"marital status"
respmar,"surviving civil partner,  partner has died",9,0,0,0,0,0,0,0,"marital status"
highed4,"degree or equivalent",1,26,2.42,1.72,13369075,1224196,22,31,"higher education"
highed4,"below degree level",2,47,1.62,1.01,23907915,819819,44,51,"higher education"
highed4,other,3,10,1.44,1.42,5206814,726224,7,13,"higher education"
highed4,"none (no qualifications)",4,16,1.38,1.14,8041265,699105,13,19,"higher education"
highed4,refused,98,,,,,,,,"higher education"
hhtypa,"1 adult aged 16 to 64",1,8,0.9,1.05,4253839,456238,7,10,"household type"
hhtypa,"1 adult aged 65 or over",2,6,0.52,0.62,3231347,261744,5,7,"household type"
hhtypa,"2 adults aged 16 to 64",3,23,1.37,1.02,11544427,691744,20,26,"household type"
hhtypa,"2 adults, (at least one 65>)",4,15,0.7,0.56,7739837,354846,14,17,"household type"
hhtypa,"1 or 2 children",5,19,1.65,1.29,9818731,833330,16,23,"household type"
hhtypa,"3 or more children",6,24,1.91,1.44,12102362,965474,20,28,"household type"
hhtypa,"other family types",7,4,0.77,1.34,1880089,390778,2,5,"household type"
