Profession,Population size,Population known,Percentage known,Any university (%),Oxbridge (%),Russell Group (%),No university (%)
BBC Executives,187,125,67%,91,33,62,8
Cabinet,22,22,100%,86,59,77,14
Constables and Police and Crime Commissioners,101,86,85%,62,6,34,38
Diplomats (Senior),150,124,83%,90,50,84,10
FTSE 350 (excluding Trusts),318,260,82%,93,18,43,7
Junior Ministers,102,96,94%,95,45,72,5
Local Government CEOs (England),333,186,56%,83,9,40,17
Local Government Leaders (England),355,131,37%,50,8,28,50
Lords,780,723,93%,82,38,61,18
MPs,650,642,99%,83,24,54,17
Newspaper Columnists,261,170,65%,86,47,68,14
Permanent Secretaries and their equivalents,37,37,100%,97,57,87,3
Pop Stars,127,72,56%,38,0,27,62
Public Body CEOs,182,152,84%,92,26,58,8
Public Body Chairs,189,123,65%,94,44,73,6
Radio 4 Influential Women,101,99,98%,88,20,60,12
The Sunday Times Rich List,163,125,77%,71,12,28,29
"Rugby Union - English, Scottish and Welsh Teams",111,35,32%,97,0,40,3
Select Committee Chairs,33,28,85,96,50,79,4
Select Committees Members,302,298,99%,78,17,44,22
Senior Judges,161,158,98%,99,75,94,1
Shadow Cabinet,27,27,100%,96,33,63,4
Shadow Ministers,109,105,96%,90,28,64,10
Top 100 Media Professionals,100,86,86%,90,45,74,10
"TV, Film and Music",101,75,74%,52,11,31,48
University Vice-Chancellors,144,141,98%,99,14,53,1
Newspaper Columnists,261,170,65%,86,47,68,14
